"session_id","date","start_time","end_time","title","description","recorded","type","skill_level","speakers","tracks","room","room_os","level","cost"
"1311","2026-03-05","8:00 AM","8:45 AM","Welcome to NICAR! First-timers welcome and networking event 👋","Welcome to the conference! Hear from IRE staff about tips and tactics to navigate our conference like a pro. Also, you'll learn about key resources that IRE offers once you're back home.","false","Networking","","Diana Fuentes, Investigative Reporters & Editors","","White River E","","1",""
"1002","2026-03-05","9:00 AM","10:00 AM","How to get data out of complex PDFs using AI","","true","Demo","","Clare Farley, Reuters; Duy Nguyen, The New York Times; Disha Raychaudhuri, Reuters","AI","White River D","","1",""
"1160","2026-03-05","9:00 AM","10:00 AM","State secrets: A workflow for using state-level ethics disclosure data in your reporting","","false","Demo","","Audrey Nielsen, Independent journalist; Diara Townes, NC Local","Local, Beat reporting","102","BYO","1",""
"1166","2026-03-05","9:00 AM","10:00 AM","What's taking so long?: Managing up and communicating as a data journalist","","true","Panel","","","","White River E","","1",""
"1193","2026-03-05","9:00 AM","10:00 AM","Data journalism for new reporters","","true","Panel","","Helena Bengtsson, Gota Media / Bonnier News Local","Local","White River G","","1",""
"1239","2026-03-05","9:00 AM","10:00 AM","R 1: Intro to R and RStudio","Jump into data analysis with R, the powerful open-source programming language. In this class we'll cover R fundamentals and learn our way around the RStudio interface for using R. This session is good for: People with a basic understanding of data analysis who are ready to go beyond spreadsheets. Laptops will be provided.","false","Hands-on","Beginner","","","204","PC","2",""
"1254","2026-03-05","9:00 AM","10:00 AM","Introduction to the command line (OSX)","Too often in data journalism we forget about the basics. And it doesn't get as basic as the command line. Even knowing a little will make your job easier. We will run through some simple commands, dive into working with spreadsheets and show you some handy tools he frequently uses at work. This session is good for: People who feel intimidated by the command line on their computer, but want to explore the power of command line tools. Laptops will be provided.","false","Hands-on","Beginner","Steven Rich, The New York Times","","209","OSX","2",""
"1256","2026-03-05","9:00 AM","10:00 AM","Google Sheets 1: Getting started with spreadsheets","In this introduction to spreadsheets, you'll begin analyzing data with Google Sheets, a simple but powerful tool. You'll learn how to enter data, navigate spreadsheets and conduct simple calculations like sum, average and median. This session is good for: Data beginners. Attendees will need to bring their own laptop (no tablets) for the training and will need a free Google account to participate.","false","Hands-on","Beginner","","Data analysis","202","BYO","2",""
"1274","2026-03-05","9:00 AM","12:30 PM","First LLM Classifier: Practical AI in the newsroom","","false","Hands-on","Intermediate","Ben Welsh, Reuters","AI","104","OSX","1","45"
"1286","2026-03-05","9:00 AM","10:00 AM","Following the money in college sports' new era","","true","Panel","","Jodi Upton, Syracuse University","","White River B","","1",""
"1302","2026-03-05","9:00 AM","11:15 AM","AI tools for journalists","","false","Hands-on","Beginner","Mike Reilley, UIC | Journalist's Toolbox","","201","BYO","2",""
"1306","2026-03-05","9:00 AM","10:00 AM","Excel 1: Getting started with spreadsheets","","false","Hands-on","Beginner","","","203","PC","2",""
